sexe;formation;usage_vehicule;type_vehicule;type_conduite;formule;date_demande;points_perdus;Age du vehicule;id_client;Tranche d'âge;Enfants;conduite accompagnee;vehicule rouge;tranche revenus;tranche tarifs_devis;code postal
M;Bachelors;Commercial;Panel Truck;z_Highly Rural/ Rural;dev_integral;08/01/2022;0;13;2704226;50-59 ans;non;non;oui;170000-179999;300-320;16120
F;PhD;Private;Van;Highly Urban/ Urban;dev_premium;12/01/2022;0;10;5278632;80 et plus;non;non;oui;110000-119999;320-340;64000
F;z_High School;Private;Pickup;Highly Urban/ Urban;dev_express;27/05/2022;1;1;4021345;60-69 ans;non;non;oui;0-9999;260-280;inconnu
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_premium;10/04/2022;6;5;1201206;18-29 ans;oui;oui;non;40000-49999;440-460;27130
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;23/03/2022;0;1;5896578;60-69 ans;non;non;non;20000-29999;320-340;59142
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;24/05/2022;0;9;9760431;18-29 ans;oui;non;non;10000-19999;320-340;03310
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;05/01/2022;0;1;3536139;70-79 ans;non;non;non;10000-19999;460-480;28000
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_vip;17/05/2022;0;11;6906892;Moins de 18 ans;non;non;non;80000-89999;540-560;79500
M;Masters;Commercial;Van;Highly Urban/ Urban;dev_express;30/05/2022;5;;7741210;50-59 ans;non;non;oui;70000-79999;240-260;06510
M;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_premium;25/01/2022;3;1;2450457;Moins de 18 ans;non;non;non;20000-29999;480-500;35000
F;Masters;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;30/01/2022;0;7;7355174;60-69 ans;non;non;non;120000-129999;300-320;51300
F;z_High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;04/01/2022;1;1;5736529;30-39 ans;non;non;non;50000-59999;480-500;13080
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;11/02/2022;0;15;1971025;50-59 ans;non;non;non;170000-179999;320-340;93100
F;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_premium;07/04/2022;3;7;8476015;60-69 ans;oui;non;non;50000-59999;340-360;39000
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;09/02/2022;4;17;6080341;50-59 ans;oui;non;non;50000-59999;260-280;28300
M;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;27/04/2022;2;13;2766172;80 et plus;non;non;non;100000-109999;260-280;48000
F;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;25/05/2022;0;4;2726515;50-59 ans;oui;non;non;30000-39999;300-320;25200
F;z_High School;Commercial;Minivan;z_Highly Rural/ Rural;dev_express;10/02/2022;0;;7861642;60-69 ans;non;non;non;30000-39999;240-260;84160
M;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_express;14/03/2022;9;8;9608523;Moins de 18 ans;non;non;oui;40000-49999;240-260;42680
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_integral;11/05/2022;4;7;2211369;70-79 ans;non;non;oui;60000-69999;300-320;37800
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_premium;09/04/2022;0;1;2773608;60-69 ans;oui;oui;oui;40000-49999;400-420;09500
F;Bachelors;Commercial;z_SUV;z_Highly Rural/ Rural;dev_premium;14/04/2022;2;14;4501245;70-79 ans;non;non;non;50000-59999;520-540;27310
M;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_express;18/04/2022;3;7;8521302;80 et plus;oui;non;non;30000-39999;260-280;80430
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;23/03/2022;0;1;1609787;50-59 ans;non;non;oui;50000-59999;260-280;04800
M;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;09/05/2022;6;;7471545;80 et plus;non;non;oui;60000-69999;300-320;51000
M;Bachelors;Private;Minivan;z_Highly Rural/ Rural;dev_express;04/02/2022;0;12;6496895;60-69 ans;non;non;non;20000-29999;240-260;52100
M;z_High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;19/04/2022;1;8;3605554;60-69 ans;oui;oui;oui;30000-39999;520-540;20000
F;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;03/04/2022;0;5;9563944;50-59 ans;oui;non;non;30000-39999;320-340;91390
F;Bachelors;Private;Minivan;z_Highly Rural/ Rural;dev_integral;18/01/2022;1;8;4178728;18-29 ans;oui;oui;non;50000-59999;280-300;24130
F;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;23/03/2022;1;16;9300287;50-59 ans;non;non;oui;110000-119999;260-280;01190
F;PhD;Private;z_SUV;Highly Urban/ Urban;dev_integral;02/05/2022;1;;2890112;60-69 ans;non;non;oui;40000-49999;280-300;58490
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;19/01/2022;1;5;2567622;50-59 ans;non;non;non;40000-49999;240-260;09100
M;z_High School;Commercial;Van;Highly Urban/ Urban;dev_integral;15/02/2022;5;;9698484;50-59 ans;oui;non;non;40000-49999;280-300;47300
M;Masters;Private;z_SUV;Highly Urban/ Urban;dev_premium;03/01/2022;0;13;7416823;60-69 ans;non;non;non;100000-109999;500-520;56860
F;z_High School;Private;Pickup;Highly Urban/ Urban;dev_express;27/03/2022;2;6;9932358;50-59 ans;oui;non;oui;20000-29999;240-260;01000
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_premium;02/04/2022;8;19;4246497;Moins de 18 ans;non;non;non;70000-79999;400-420;92250
M;<High School;Private;Sports Car;Highly Urban/ Urban;dev_premium;30/04/2022;0;1;1341281;60-69 ans;non;non;non;20000-29999;500-520;82100
M;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_integral;07/04/2022;1;1;6343574;70-79 ans;oui;oui;non;20000-29999;320-340;40600
M;PhD;Private;Sports Car;Highly Urban/ Urban;dev_integral;22/01/2022;0;16;3815994;70-79 ans;oui;non;non;110000-119999;300-320;68270
M;PhD;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;07/05/2022;0;18;8466380;70-79 ans;oui;oui;non;inconnu;320-340;93100
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_premium;07/01/2022;4;3;8074557;30-39 ans;non;non;non;70000-79999;520-540;23210
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;05/01/2022;5;5;6624102;Moins de 18 ans;oui;non;non;110000-119999;320-340;41700
F;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;13/05/2022;0;1;5937194;80 et plus;non;non;non;30000-39999;300-320;79000
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;11/05/2022;4;10;6979343;50-59 ans;non;non;non;120000-129999;240-260;30129
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;29/03/2022;3;9;7313666;60-69 ans;non;non;non;30000-39999;300-320;74500
M;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;12/02/2022;0;3;5981441;18-29 ans;oui;non;non;30000-39999;440-460;12800
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_premium;18/03/2022;0;1;5865503;70-79 ans;non;non;oui;inconnu;320-340;59495
F;<High School;Private;Pickup;Highly Urban/ Urban;dev_express;25/01/2022;5;1;3948634;80 et plus;non;non;oui;30000-39999;260-280;09000
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;11/05/2022;3;;3438804;18-29 ans;non;non;non;50000-59999;260-280;11000
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;04/05/2022;0;7;4280427;Moins de 18 ans;oui;oui;oui;60000-69999;240-260;59580
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_express;22/01/2022;3;;6800625;30-39 ans;non;non;oui;70000-79999;260-280;18160
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_express;06/01/2022;2;10;4711198;40-49 ans;non;non;non;60000-69999;240-260;51530
F;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;11/04/2022;2;7;1576493;60-69 ans;oui;non;non;10000-19999;300-320;24130
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;22/03/2022;0;16;7043868;60-69 ans;non;non;non;40000-49999;280-300;91700
F;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_premium;31/03/2022;0;15;5564421;30-39 ans;non;non;non;180000-189999;500-520;43220
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;09/03/2022;0;15;9383258;60-69 ans;non;non;non;170000-179999;280-300;53410
M;<High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;07/05/2022;5;1;6432351;70-79 ans;oui;non;non;30000-39999;280-300;08000
F;PhD;Private;Minivan;Highly Urban/ Urban;dev_integral;24/02/2022;3;10;1954021;70-79 ans;non;non;oui;90000-99999;300-320;63430
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;24/05/2022;0;15;7072230;40-49 ans;non;non;non;70000-79999;260-280;14123
M;z_High School;Commercial;z_SUV;Highly Urban/ Urban;dev_express;25/02/2022;0;7;4514692;60-69 ans;non;non;non;80000-89999;280-300;26000
F;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_express;29/03/2022;0;11;1325935;80 et plus;non;non;oui;0-9999;260-280;15210
F;Masters;Private;Sports Car;Highly Urban/ Urban;dev_express;10/05/2022;6;12;2118134;80 et plus;oui;oui;non;70000-79999;260-280;87000
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;14/05/2022;3;5;1221435;Moins de 18 ans;oui;non;non;40000-49999;280-300;38470
F;Bachelors;Private;Van;Highly Urban/ Urban;dev_integral;19/01/2022;3;12;1108045;80 et plus;non;non;oui;inconnu;280-300;44620
M;z_High School;Commercial;Pickup;Highly Urban/ Urban;dev_premium;27/05/2022;0;7;3930591;30-39 ans;oui;oui;non;60000-69999;440-460;65110
M;<High School;Commercial;Van;z_Highly Rural/ Rural;dev_integral;13/01/2022;0;1;6742144;Moins de 18 ans;oui;non;oui;10000-19999;320-340;38150
M;z_High School;Private;Pickup;Highly Urban/ Urban;dev_integral;08/04/2022;0;10;4791695;30-39 ans;non;non;oui;30000-39999;320-340;18800
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;26/04/2022;2;15;6194593;30-39 ans;non;non;non;90000-99999;280-300;52000
M;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;30/01/2022;1;20;5084052;18-29 ans;non;non;non;100000-109999;300-320;10450
F;z_High School;Commercial;z_SUV;z_Highly Rural/ Rural;dev_express;18/05/2022;5;12;7263653;30-39 ans;non;non;non;50000-59999;260-280;88000
M;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_premium;27/01/2022;3;6;8295111;50-59 ans;non;non;non;40000-49999;400-420;16130
F;Masters;Private;Van;Highly Urban/ Urban;dev_express;13/02/2022;0;18;7673459;50-59 ans;non;non;oui;130000-139999;260-280;90000
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;26/04/2022;0;8;4052024;Moins de 18 ans;non;non;non;20000-29999;320-340;89380
M;Bachelors;Commercial;Van;z_Highly Rural/ Rural;dev_premium;26/05/2022;2;;5279760;60-69 ans;oui;non;oui;90000-99999;480-500;03000
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;06/02/2022;0;16;6294115;50-59 ans;oui;non;non;inconnu;300-320;94210
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_express;05/02/2022;0;5;3401687;18-29 ans;oui;oui;non;20000-29999;260-280;51000
F;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;26/03/2022;0;1;8200134;80 et plus;non;non;oui;10000-19999;440-460;84150
F;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;14/02/2022;4;10;6974858;70-79 ans;non;non;non;40000-49999;240-260;09100
F;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;17/04/2022;5;8;9657861;Moins de 18 ans;non;non;non;60000-69999;320-340;89300
F;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;12/02/2022;1;9;1040834;80 et plus;oui;non;oui;90000-99999;240-260;25110
M;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_integral;20/03/2022;0;17;6348203;Moins de 18 ans;non;non;non;160000-169999;280-300;34700
M;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_express;24/03/2022;7;10;7976081;Moins de 18 ans;non;non;non;90000-99999;240-260;30400
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;28/05/2022;4;;5974343;70-79 ans;non;non;non;10000-19999;300-320;20240
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;27/04/2022;1;7;8721816;50-59 ans;non;non;non;60000-69999;320-340;11170
M;Bachelors;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;28/01/2022;1;1;9121417;50-59 ans;non;non;non;90000-99999;320-340;46090
M;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;21/03/2022;4;11;7432440;Moins de 18 ans;non;non;non;170000-179999;280-300;32000
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;07/01/2022;0;12;6130883;70-79 ans;non;non;non;60000-69999;320-340;23800
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_premium;15/05/2022;4;13;6789565;60-69 ans;non;non;non;100000-109999;340-360;02400
F;Bachelors;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;09/02/2022;4;12;2100300;30-39 ans;non;non;non;40000-49999;300-320;29750
M;PhD;Commercial;Pickup;Highly Urban/ Urban;dev_express;04/02/2022;3;13;6362706;70-79 ans;non;non;non;190000-199999;280-300;93200
F;z_High School;Commercial;Van;Highly Urban/ Urban;dev_integral;30/04/2022;3;8;7447119;40-49 ans;non;non;non;90000-99999;300-320;90150
M;z_High School;Private;Van;Highly Urban/ Urban;dev_express;06/01/2022;0;1;6213005;18-29 ans;non;non;non;70000-79999;260-280;39400
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;12/04/2022;2;1;5899944;50-59 ans;oui;non;non;50000-59999;240-260;14000
F;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;25/04/2022;5;10;8720245;80 et plus;non;non;non;90000-99999;240-260;57160
M;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_integral;01/01/2022;4;8;2729748;30-39 ans;oui;oui;non;90000-99999;320-340;inconnu
M;<High School;Commercial;Pickup;Highly Urban/ Urban;dev_express;16/03/2022;5;1;6241011;50-59 ans;non;non;oui;30000-39999;280-300;27570
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;20/03/2022;3;20;1163443;18-29 ans;non;non;non;120000-129999;320-340;22740
M;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;20/01/2022;3;2;1518282;70-79 ans;non;non;non;inconnu;280-300;64000
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;10/05/2022;0;12;7734338;50-59 ans;non;non;oui;70000-79999;300-320;10800
M;PhD;Private;Sports Car;Highly Urban/ Urban;dev_premium;10/01/2022;5;11;8617968;Moins de 18 ans;non;non;non;inconnu;520-540;62110
F;z_High School;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;28/03/2022;0;12;4554248;Moins de 18 ans;non;non;non;70000-79999;300-320;53500
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;13/04/2022;4;11;4123730;40-49 ans;non;non;oui;30000-39999;300-320;87700
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;21/02/2022;0;1;6036898;80 et plus;non;non;non;70000-79999;320-340;80300
F;<High School;Private;Pickup;Highly Urban/ Urban;dev_integral;15/01/2022;2;1;7129216;18-29 ans;non;non;oui;30000-39999;300-320;73000
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;25/01/2022;0;10;9313156;40-49 ans;non;non;oui;20000-29999;320-340;39700
M;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_integral;18/01/2022;2;7;9700330;70-79 ans;non;non;non;inconnu;320-340;40390
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;15/02/2022;0;17;7142056;70-79 ans;non;non;oui;270000-279999;260-280;47310
M;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_premium;27/01/2022;1;14;4506168;60-69 ans;oui;non;non;70000-79999;520-540;56800
M;z_High School;Private;Pickup;Highly Urban/ Urban;dev_express;18/03/2022;4;9;3305311;50-59 ans;non;non;non;40000-49999;280-300;83000
M;z_High School;Private;Pickup;Highly Urban/ Urban;dev_integral;22/03/2022;0;8;1606547;18-29 ans;non;non;non;50000-59999;300-320;87430
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;07/03/2022;3;;8755876;Moins de 18 ans;non;non;non;30000-39999;320-340;56700
M;Bachelors;Commercial;Van;Highly Urban/ Urban;dev_integral;18/05/2022;0;4;8642621;Moins de 18 ans;non;non;oui;60000-69999;320-340;03100
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_express;01/05/2022;1;1;1608086;18-29 ans;oui;non;non;30000-39999;280-300;57700
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_integral;26/05/2022;0;11;5849134;40-49 ans;oui;non;non;80000-89999;300-320;32190
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;23/04/2022;6;;2058139;Moins de 18 ans;non;non;non;40000-49999;500-520;28220
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_express;27/02/2022;1;11;6447828;80 et plus;oui;oui;oui;110000-119999;240-260;93800
F;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;16/04/2022;2;10;9717505;60-69 ans;non;non;oui;60000-69999;280-300;70400
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;21/03/2022;1;21;8528991;18-29 ans;oui;non;non;40000-49999;280-300;62217
M;z_High School;Commercial;Sports Car;z_Highly Rural/ Rural;dev_integral;10/05/2022;0;1;8196795;40-49 ans;non;non;non;20000-29999;280-300;47800
F;z_High School;Private;Pickup;z_Highly Rural/ Rural;dev_integral;11/04/2022;0;10;3640004;Moins de 18 ans;oui;non;non;80000-89999;280-300;34210
F;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_express;13/05/2022;0;1;8069931;50-59 ans;oui;non;non;10000-19999;260-280;82370
F;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;26/05/2022;3;1;4444974;70-79 ans;oui;oui;oui;0-9999;300-320;62420
F;Bachelors;Private;Pickup;z_Highly Rural/ Rural;dev_express;03/03/2022;0;10;6345701;80 et plus;non;non;non;40000-49999;240-260;72000
F;PhD;Private;Sports Car;Highly Urban/ Urban;dev_express;26/01/2022;0;12;9699789;70-79 ans;non;non;non;200000-209999;260-280;84000
M;Masters;Commercial;Pickup;Highly Urban/ Urban;dev_express;22/01/2022;4;20;8054628;Moins de 18 ans;non;non;oui;130000-139999;260-280;46400
F;Bachelors;Private;z_SUV;Highly Urban/ Urban;dev_express;25/05/2022;0;3;7906237;70-79 ans;non;non;non;0-9999;260-280;23200
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_premium;03/02/2022;0;11;2485424;18-29 ans;non;non;non;70000-79999;420-440;41600
F;PhD;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;08/01/2022;5;19;1661555;50-59 ans;non;non;oui;140000-149999;260-280;54280
F;Bachelors;Commercial;Minivan;z_Highly Rural/ Rural;dev_express;02/05/2022;0;11;7049616;40-49 ans;non;non;non;inconnu;260-280;10800
M;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_express;18/05/2022;0;7;4214811;30-39 ans;non;non;oui;40000-49999;260-280;74540
M;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;25/05/2022;0;8;5827709;40-49 ans;non;non;non;20000-29999;480-500;59220
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_integral;04/05/2022;2;1;2180510;60-69 ans;oui;oui;non;40000-49999;300-320;61100
F;Masters;Private;Pickup;Highly Urban/ Urban;dev_integral;16/04/2022;2;12;1162540;60-69 ans;oui;non;non;130000-139999;300-320;94000
M;<High School;Private;Minivan;Highly Urban/ Urban;dev_integral;17/02/2022;0;1;8476546;18-29 ans;non;non;non;10000-19999;320-340;32600
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_premium;25/04/2022;0;11;9511266;80 et plus;non;non;oui;100000-109999;380-400;38800
F;<High School;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;24/03/2022;0;7;4766169;Moins de 18 ans;non;non;non;30000-39999;280-300;45200
F;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_express;24/01/2022;0;5;2972891;50-59 ans;oui;non;non;inconnu;260-280;38360
M;z_High School;Private;Pickup;z_Highly Rural/ Rural;dev_integral;03/03/2022;0;9;7436138;80 et plus;oui;oui;oui;inconnu;320-340;78700
F;PhD;Private;Van;Highly Urban/ Urban;dev_integral;29/01/2022;0;14;5699138;60-69 ans;non;non;oui;130000-139999;300-320;39100
F;<High School;Private;z_SUV;z_Highly Rural/ Rural;dev_integral;29/04/2022;0;4;6098355;80 et plus;oui;oui;non;10000-19999;320-340;69004
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_integral;11/01/2022;0;6;8557347;70-79 ans;non;non;non;70000-79999;300-320;47110
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_express;11/05/2022;7;1;7886053;40-49 ans;oui;non;non;10000-19999;260-280;34970
F;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_express;07/05/2022;6;1;7122570;50-59 ans;oui;non;non;20000-29999;260-280;08000
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_express;08/02/2022;3;1;2405629;Moins de 18 ans;non;non;non;80000-89999;240-260;76690
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;01/02/2022;2;19;9732473;70-79 ans;non;non;oui;80000-89999;320-340;87000
F;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;10/03/2022;3;12;6587115;60-69 ans;non;non;non;20000-29999;300-320;18000
F;z_High School;Private;Minivan;Highly Urban/ Urban;dev_integral;08/03/2022;1;1;1820046;50-59 ans;non;non;non;40000-49999;300-320;12170
F;z_High School;Private;z_SUV;z_Highly Rural/ Rural;dev_premium;27/05/2022;1;9;9920544;60-69 ans;non;non;non;30000-39999;440-460;91230
F;Bachelors;Private;Pickup;Highly Urban/ Urban;dev_vip;07/01/2022;2;9;1688007;50-59 ans;non;non;oui;70000-79999;620-640;93800
M;z_High School;Private;Minivan;Highly Urban/ Urban;dev_express;14/02/2022;0;1;9641192;80 et plus;oui;oui;oui;20000-29999;260-280;78300
M;Bachelors;Private;Sports Car;Highly Urban/ Urban;dev_express;21/02/2022;0;4;8535387;30-39 ans;non;non;non;30000-39999;240-260;91100
M;Bachelors;Commercial;Van;z_Highly Rural/ Rural;dev_integral;09/04/2022;0;7;9730703;50-59 ans;oui;non;oui;30000-39999;280-300;88550
F;Bachelors;Commercial;Minivan;Highly Urban/ Urban;dev_integral;25/03/2022;5;9;5280076;60-69 ans;oui;non;non;70000-79999;300-320;43200
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_express;31/03/2022;0;20;8556349;40-49 ans;oui;non;non;80000-89999;260-280;13790
M;Masters;Private;Sports Car;Highly Urban/ Urban;dev_integral;02/02/2022;0;15;6094223;18-29 ans;non;non;non;50000-59999;280-300;48100
M;Bachelors;Commercial;Pickup;Highly Urban/ Urban;dev_integral;08/05/2022;0;7;6905852;50-59 ans;non;non;oui;40000-49999;300-320;20000
M;Masters;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;04/04/2022;0;9;9653057;40-49 ans;oui;non;non;110000-119999;280-300;95000
F;z_High School;Private;Sports Car;Highly Urban/ Urban;dev_express;11/01/2022;3;6;8541245;30-39 ans;oui;oui;non;inconnu;240-260;63250
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;22/03/2022;4;8;6393580;60-69 ans;oui;non;non;120000-129999;280-300;11260
M;z_High School;Commercial;Sports Car;Highly Urban/ Urban;dev_integral;30/01/2022;0;1;9083462;80 et plus;oui;non;non;40000-49999;320-340;32100
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_integral;09/05/2022;7;1;6746226;30-39 ans;non;non;non;70000-79999;300-320;18190
M;z_High School;Commercial;Minivan;Highly Urban/ Urban;dev_integral;11/04/2022;3;5;9149598;70-79 ans;non;non;non;30000-39999;280-300;16500
M;z_High School;Commercial;Van;Highly Urban/ Urban;dev_integral;10/01/2022;1;8;9087687;50-59 ans;non;non;oui;100000-109999;320-340;13012
M;z_High School;Private;z_SUV;Highly Urban/ Urban;dev_premium;26/03/2022;2;;5332259;50-59 ans;non;non;non;110000-119999;440-460;69460
F;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_express;24/02/2022;10;14;6065109;18-29 ans;non;non;non;70000-79999;240-260;93130
F;Bachelors;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;05/03/2022;3;3;7380240;18-29 ans;oui;non;non;110000-119999;280-300;46000
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;30/04/2022;0;10;6494420;80 et plus;non;non;non;inconnu;280-300;20290
M;z_High School;Private;Sports Car;z_Highly Rural/ Rural;dev_integral;26/01/2022;0;1;4475335;30-39 ans;non;non;non;10000-19999;300-320;39100
F;Bachelors;Private;Minivan;Highly Urban/ Urban;dev_vip;06/01/2022;4;10;1565163;80 et plus;oui;oui;non;100000-109999;680-700;19270
M;Masters;Private;Minivan;Highly Urban/ Urban;dev_integral;09/01/2022;0;13;2641329;30-39 ans;non;non;oui;50000-59999;320-340;38080
M;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_integral;13/01/2022;1;1;5251055;60-69 ans;oui;non;non;80000-89999;320-340;56400
F;PhD;Private;Sports Car;Highly Urban/ Urban;dev_integral;10/05/2022;8;20;5573894;80 et plus;non;non;non;160000-169999;300-320;81200
M;Bachelors;Commercial;Panel Truck;z_Highly Rural/ Rural;dev_integral;02/03/2022;0;1;5816579;80 et plus;oui;non;non;80000-89999;320-340;57230
F;Masters;Private;Minivan;Highly Urban/ Urban;dev_express;30/01/2022;2;18;5924016;50-59 ans;oui;non;non;70000-79999;240-260;73300
F;Masters;Private;z_SUV;Highly Urban/ Urban;dev_integral;14/04/2022;0;25;1569611;50-59 ans;non;non;non;inconnu;280-300;40420
M;Masters;Commercial;Panel Truck;Highly Urban/ Urban;dev_integral;29/05/2022;0;19;7075364;30-39 ans;oui;non;oui;120000-129999;300-320;90370
M;Masters;Private;Pickup;Highly Urban/ Urban;dev_express;24/05/2022;0;17;6667070;Moins de 18 ans;oui;non;oui;30000-39999;260-280;66210
F;z_High School;Commercial;Pickup;z_Highly Rural/ Rural;dev_integral;27/01/2022;2;11;6591992;50-59 ans;non;non;oui;60000-69999;300-320;15210
F;Bachelors;Private;Van;Highly Urban/ Urban;dev_express;07/05/2022;3;13;4463693;50-59 ans;non;non;non;50000-59999;240-260;37300
M;z_High School;Commercial;z_SUV;z_Highly Rural/ Rural;dev_premium;06/03/2022;0;8;6681346;70-79 ans;oui;non;non;30000-39999;420-440;42000
M;Bachelors;Commercial;z_SUV;Highly Urban/ Urban;dev_express;06/05/2022;1;5;7578551;18-29 ans;oui;non;non;40000-49999;260-280;07430
F;z_High School;Private;Minivan;z_Highly Rural/ Rural;dev_premium;23/01/2022;0;1;9210146;50-59 ans;oui;non;non;50000-59999;540-560;45140
